time,Open,High,Low,Close,VolumeFrom,VolumeTo
2025-07-31,3810.29,3878.33,3684.07,3698.19,372609.46,1411476606.14
2025-08-01,3698.19,3723.77,3430.49,3487.02,667469.59,2402758445.59
2025-08-02,3487.02,3536.9,3368.07,3393.4,433396.07,1497485032.53
2025-08-03,3393.4,3522.08,3356.18,3497.6,243192.4,842128496.52
2025-08-04,3497.6,3737.28,3492.02,3720.93,410236.5,1488663337.16
2025-08-05,3720.93,3721.28,3546.78,3611.81,436210.42,1576976876.62
2025-08-06,3611.81,3699.86,3564.36,3684.11,364626.39,1324367589.64
2025-08-07,3684.11,3928.73,3648.86,3911.67,511810.82,1952789807.61
2025-08-08,3911.67,4071.18,3881.17,4010.54,707635.35,2809549376.46
2025-08-09,4010.54,4326.47,4007.66,4262.92,515549.94,2161726993.45
2025-08-10,4262.92,4333.21,4161.61,4252.23,399831.98,1692542804.5
2025-08-11,4252.23,4363.0,4166.28,4224.95,722604.32,3092226498.82
2025-08-12,4224.95,4637.79,4220.73,4589.8,883614.2,3931807337.09
2025-08-13,4589.8,4786.25,4563.84,4751.85,899315.48,4212225862.3
2025-08-14,4751.85,4792.0,4458.11,4550.57,1028521.34,4747748202.3
2025-08-15,4550.57,4670.98,4370.37,4443.12,740013.35,3335989219.35
2025-08-16,4443.12,4494.58,4376.38,4425.22,296821.85,1314953848.77
2025-08-17,4425.22,4577.87,4398.69,4475.46,324508.23,1458815773.26
2025-08-18,4475.46,4484.5,4227.39,4315.29,764040.79,3310774760.58
2025-08-19,4315.29,4356.5,4067.28,4075.7,813137.39,3423649957.86
2025-08-20,4075.7,4378.55,4063.26,4336.33,694993.05,2940058186.22
2025-08-21,4336.33,4340.41,4204.16,4224.96,469293.34,2004123764.73
2025-08-22,4224.96,4886.5,4207.73,4830.6,989885.74,4567562728.96
2025-08-23,4830.6,4830.61,4661.09,4777.18,295407.96,1399949632.47
2025-08-24,4777.18,4955.89,4711.99,4780.0,472306.39,2275070174.64
2025-08-25,4780.0,4797.68,4336.8,4377.67,719329.67,3283003266.99
2025-08-26,4377.67,4635.1,4313.23,4601.95,657604.45,2951649134.68
2025-08-27,4601.95,4663.74,4482.76,4507.43,542344.09,2490505056.76
2025-08-28,4507.43,4634.05,4430.54,4512.13,405886.84,1838212760.19
2025-08-29,4512.13,4517.24,4270.22,4360.69,559078.07,2440398500.78
2025-08-30,4360.69,4415.32,4258.66,4374.94,207915.53,904940321.54
2025-08-31,4374.94,4498.78,4373.77,4392.43,244059.4,1087170239.36
2025-09-01,4392.43,4490.99,4212.31,4314.85,378772.51,1651950026.24
2025-09-02,4314.85,4417.1,4257.73,4326.52,442799.2,1917061495.57
2025-09-03,4326.52,4492.46,4283.79,4452.33,374258.75,1649439983.87
2025-09-04,4452.33,4484.3,4266.19,4298.54,434003.76,1891640683.18
2025-09-05,4298.54,4487.87,4255.43,4307.57,560382.08,2438622193.01
2025-09-06,4307.57,4328.68,4239.48,4274.53,154716.57,663144740.61
